City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,beringovskiy,63.05,179.3167,-21.53,97,100,5.27,RU,1676832141
1,mataura,-46.1927,168.8643,10.8,97,39,1.21,NZ,1676832142
2,kapaa,22.0752,-159.319,21.99,94,100,2.29,US,1676832143
3,nanortalik,60.1432,-45.2371,-6.56,80,100,3.14,GL,1676832143
4,albany,42.6001,-73.9662,7.75,44,100,2.24,US,1676832136
5,natchitoches,31.7668,-93.1335,19.99,56,40,4.63,US,1676832145
6,busselton,-33.65,115.3333,18.09,66,5,5.53,AU,1676832145
7,victoria,22.2855,114.1577,21.03,77,100,1.79,HK,1676832139
8,hithadhoo,-0.6,73.0833,27.35,74,20,3.03,MV,1676832146
9,saint-philippe,-21.3585,55.7679,26.77,88,85,5.87,RE,1676832147
10,rikitea,-23.1203,-134.9692,26.48,75,90,8.2,PF,1676832148
11,galle,6.0367,80.217,24.5,88,100,0.64,LK,1676832148
12,tuktoyaktuk,69.4541,-133.0374,-34.0,68,75,3.09,CA,1676832149
13,bredasdorp,-34.5322,20.0403,19.33,74,18,7.75,ZA,1676832150
14,kuzino,57.0224,59.4412,-24.35,100,99,1.59,RU,1676832150
15,jiuquan,39.7432,98.5174,-3.68,43,100,1.97,CN,1676832151
16,punta arenas,-53.15,-70.9167,12.06,40,75,12.86,CL,1676832150
17,mvuma,-19.2792,30.5283,15.81,91,79,3.19,ZW,1676832152
18,kasongo-lunda,-6.4667,16.8167,22.18,91,100,0.74,CD,1676832152
19,bluff,-46.6,168.3333,12.58,88,30,3.01,NZ,1676832153
20,avera,33.194,-82.5271,18.73,62,13,2.4,US,1676832153
21,margate,51.3813,1.3862,9.83,71,92,0.89,GB,1676832154
22,kaitangata,-46.2817,169.8464,12.2,93,92,1.64,NZ,1676832155
23,khatanga,71.9667,102.5,-14.8,89,47,6.91,RU,1676832155
24,hasaki,35.7333,140.8333,10.16,47,18,1.7,JP,1676832156
25,ponca city,36.707,-97.0856,16.61,39,0,5.14,US,1676832157
26,atambua,-9.1061,124.8925,22.75,90,97,1.02,ID,1676832157
27,carnarvon,-24.8667,113.6333,23.64,83,0,8.74,AU,1676832158
28,svetlaya,46.5389,138.3297,-9.73,79,100,3.7,RU,1676832159
29,hobart,-42.8794,147.3294,17.37,68,100,3.09,AU,1676831873
30,jamestown,42.097,-79.2353,11.77,31,0,7.72,US,1676832160
31,allende,25.2833,-100.0167,23.44,27,1,2.82,MX,1676832160
32,barrow,71.2906,-156.7887,-21.99,77,100,0.0,US,1676832161
33,nenjiang,49.1833,125.2167,-19.71,100,98,1.4,CN,1676832161
34,gat,31.61,34.7642,15.22,80,0,3.31,IL,1676831884
35,hermanus,-34.4187,19.2345,18.78,82,1,8.02,ZA,1676832162
36,cherskiy,68.75,161.3,-31.14,95,100,1.33,RU,1676832162
37,tsuyama,35.05,134.0,4.83,90,100,1.18,JP,1676832163
38,san pedro,14.35,121.0167,24.64,92,20,1.03,PH,1676832163
39,port alfred,-33.5906,26.891,21.21,93,0,4.38,ZA,1676832164
40,sola,-13.8833,167.55,26.36,83,100,7.68,VU,1676832164
41,bonavista,48.6499,-53.1147,-2.6,66,100,7.58,CA,1676832165
42,inverell,-29.7833,151.1167,17.31,85,100,1.34,AU,1676832166
43,fortuna,40.5982,-124.1573,11.31,77,0,0.45,US,1676832167
44,zhuhai,22.2769,113.5678,20.88,77,40,1.54,CN,1676832168
45,new norfolk,-42.7826,147.0587,17.18,62,100,1.1,AU,1676832169
46,mahibadhoo,3.7833,72.9667,26.85,74,10,4.74,MV,1676832169
47,east london,-33.0153,27.9116,23.52,94,0,2.57,ZA,1676832170
48,kahului,20.8947,-156.47,24.36,85,20,4.02,US,1676832164
49,upernavik,72.7868,-56.1549,-14.53,90,100,8.83,GL,1676832171
50,thomaston,32.8882,-84.3266,16.97,54,0,3.09,US,1676831973
51,qaanaaq,77.484,-69.3632,-16.84,66,48,4.14,GL,1676832172
52,pevek,69.7008,170.3133,-29.5,91,100,0.27,RU,1676832172
53,udachnyy,66.4167,112.4,-23.43,99,100,2.28,RU,1676832173
54,moron,-34.6534,-58.6198,26.64,29,0,3.49,AR,1676832037
55,tasiilaq,65.6145,-37.6368,-9.76,91,100,1.29,GL,1676832174
56,calama,-22.4667,-68.9333,22.27,33,20,7.72,CL,1676832175
57,lompoc,34.6391,-120.4579,19.41,49,0,0.89,US,1676832175
58,mahebourg,-20.4081,57.7,27.16,89,75,4.12,MU,1676832176
59,mar del plata,-38.0023,-57.5575,25.53,33,0,8.75,AR,1676831878
60,kodiak,57.79,-152.4072,0.73,69,0,2.57,US,1676832177
61,karema,-6.8205,30.4389,22.75,83,45,0.13,TZ,1676832178
62,luderitz,-26.6481,15.1594,17.89,85,3,2.35,NA,1676831924
63,yellowknife,62.456,-114.3525,-32.71,68,75,2.06,CA,1676831946
64,san cristobal,7.7669,-72.225,25.1,30,7,0.88,VE,1676832180
65,yeppoon,-23.1333,150.7333,23.88,77,100,6.78,AU,1676832180
66,powell river,49.8496,-124.5361,8.0,87,75,1.03,CA,1676832181
67,cuamba,-14.8031,36.5372,22.04,94,27,1.1,MZ,1676832182
68,teguise,29.0605,-13.564,18.12,52,0,5.66,ES,1676832182
69,sergeyevka,53.88,67.4158,-10.91,96,90,2.59,KZ,1676832183
70,te anau,-45.4167,167.7167,15.07,92,85,1.65,NZ,1676832183
71,puerto ayora,-0.7393,-90.3518,30.98,86,28,4.02,EC,1676832184
72,sorland,67.667,12.6934,0.92,74,37,9.2,NO,1676832186
73,vaini,-21.2,-175.2,25.09,94,75,0.0,TO,1676832186
74,huarmey,-10.0681,-78.1522,26.02,72,100,4.88,PE,1676832187
75,okhotsk,59.3833,143.3,-27.46,84,2,3.83,RU,1676832188
76,dunedin,-45.8742,170.5036,16.56,80,36,1.79,NZ,1676832060
77,kaeo,-35.1,173.7833,13.51,96,96,2.02,NZ,1676832190
78,norman wells,65.282,-126.8329,-23.98,77,100,1.54,CA,1676832191
79,ushuaia,-54.8,-68.3,8.81,57,75,9.77,AR,1676832192
80,padang,-0.9492,100.3543,24.73,86,100,1.72,ID,1676832192
81,metro,-5.1131,105.3067,23.28,93,100,2.16,ID,1676832193
82,mersing,2.4312,103.8405,25.95,83,20,4.12,MY,1676832193
83,mount isa,-20.7333,139.5,20.87,100,75,2.06,AU,1676832194
84,aguadilla,18.4275,-67.1541,27.62,66,100,8.05,PR,1676832195
85,manokwari,-0.8667,134.0833,24.81,85,100,3.68,ID,1676832195
86,baghdad,33.3406,44.4009,9.95,50,0,2.57,IQ,1676832196
87,talnakh,69.4865,88.3972,-17.32,96,96,2.93,RU,1676832196
88,youkounkoun,12.5333,-13.1333,34.14,15,71,1.66,GN,1676832197
89,tiksi,71.6872,128.8694,-31.76,98,51,3.79,RU,1676832197
90,provideniya,64.3833,-173.3,-21.46,99,100,6.48,RU,1676832198
91,castro,-24.7911,-50.0119,17.63,81,100,2.65,BR,1676832198
92,cockburn town,21.4612,-71.1419,26.98,54,40,7.72,TC,1676832199
93,butaritari,3.0707,172.7902,26.75,77,97,3.0,KI,1676832200
94,apatou,5.155,-54.3472,25.32,83,100,2.06,GF,1676832201
95,iqaluit,63.7506,-68.5145,-34.15,62,40,0.0,CA,1676832201
96,gushikawa,26.3544,127.8686,17.57,67,75,5.14,JP,1676832202
97,avarua,-21.2078,-159.775,27.03,89,20,3.6,CK,1676832203
98,zemio,5.0314,25.1361,25.8,25,100,1.75,CF,1676832204
99,san quintin,30.4833,-115.95,16.09,54,99,4.61,MX,1676832204
100,dikson,73.5069,80.5464,-5.84,96,100,4.74,RU,1676832205
101,sayyan,15.1718,44.3244,10.75,33,0,1.91,YE,1676832205
102,trinidad,-14.8333,-64.9,23.99,57,75,3.09,BO,1676832205
103,mehamn,71.0357,27.8492,-1.03,100,100,2.06,NO,1676832206
104,boende,-0.2167,20.8667,27.2,32,100,0.98,CD,1676832207
105,knysna,-34.0363,23.0471,19.68,82,0,2.1,ZA,1676832207
106,shieli,44.1667,66.75,2.17,65,100,3.62,KZ,1676832208
107,yarmouth,41.7057,-70.2286,8.31,72,0,4.12,US,1676832208
